	105167_RL1500018201-1	105174_RL1500018901-1	118167_RL1500015301-2	150712_RL1500025701-1	150866_RL1500034602-1	150916_RL1500041902-1	153224_RL1500026801-2	153227_RL1500027101-2	153228_RL1500027201-2	153496_RL1500045301-1	153517_RL1500047401-1	153518_RL1500047501-1	153519_RL1500047601-1	153520_RL1500047701-1	153521_RL1500047801-1	153526_RL1500048301-1	153536_RL1500049301-1	159990_RL1500054002-2	159999_RL1500065302-2	160001_RL1500065502-2	160027_RL1500052101-2	160071_RL1500069101-2	160081_RL1500070201-2	160082_RL1500070301-2	163313_RL1500053901-2	163319_RL1500065201-2	168144_RL1500006402-2	168173_RL1500035002-2	172331_RL1500130901-2	176128_RL1500129801-1	176135_RL1500156301-1	176198_RL1500198601-1	ref
F.RL15000182	0	821	712	204	718	864	81	840	836	1044	693	707	701	698	697	713	93	718	1138	1156	740	1155	769	773	754	1129	698	709	706	724	182	1428	773
F.RL15000189	821	0	932	947	962	30	852	13	13	1049	905	914	916	913	912	924	866	929	1110	1121	952	1126	1031	1035	976	1101	917	954	954	936	923	1416	1035
F.RL15000153	712	932	0	802	214	1000	771	972	973	1126	134	135	138	135	135	291	795	140	1217	1223	1	1227	407	412	250	1210	208	212	212	269	783	1205	412
F.RL15000257	204	947	802	0	985	1011	205	981	979	1124	786	801	794	787	784	1196	233	809	1206	1435	843	1230	1836	1840	1758	1206	905	976	984	1605	40	1492	1840
F.RL15000346	718	962	214	985	0	1039	784	1005	1007	1171	234	247	239	236	230	785	807	246	1247	1518	250	1260	1377	1382	1369	1247	30	27	28	1016	947	1543	1382
F.RL15000419	864	30	1000	1011	1039	0	911	31	31	1084	974	983	984	982	979	1006	922	999	1179	1189	1020	1192	1140	1144	1040	1170	974	1031	1033	987	987	1485	1144
F.RL15000268	81	852	771	205	784	911	0	885	880	1098	750	764	758	756	752	755	92	774	1204	1247	799	1225	929	933	829	1195	740	773	777	774	182	1496	933
F.RL15000271	840	13	972	981	1005	31	885	0	0	1068	946	954	955	953	950	973	899	970	1152	1161	992	1168	1098	1102	1015	1143	942	997	999	963	957	1459	1102
F.RL15000272	836	13	973	979	1007	31	880	0	0	1068	946	955	956	954	951	978	891	971	1147	1159	993	1160	1104	1108	1021	1138	946	999	1001	968	955	1452	1108
F.RL15000453	1044	1049	1126	1124	1171	1084	1098	1068	1068	0	1100	1101	1104	1101	1100	1103	1123	1122	239	251	1126	256	1194	1198	1166	240	1099	1163	1169	1147	1108	500	1198
F.RL15000474	693	905	134	786	234	974	750	946	946	1100	0	1	4	1	1	265	788	51	1205	1206	136	1221	390	395	227	1198	227	232	232	247	770	1498	395
F.RL15000475	707	914	135	801	247	983	764	954	955	1101	1	0	5	0	2	280	802	52	1212	1216	137	1228	405	410	232	1205	240	245	245	253	784	1505	410
F.RL15000476	701	916	138	794	239	984	758	955	956	1104	4	5	0	5	5	272	796	55	1215	1218	140	1231	400	405	235	1208	231	237	237	254	777	1508	405
F.RL15000477	698	913	135	787	236	982	756	953	954	1101	1	0	5	0	2	273	793	52	1205	1211	137	1221	403	408	237	1198	229	234	234	255	771	1499	408
F.RL15000478	697	912	135	784	230	979	752	950	951	1100	1	2	5	2	0	269	791	52	1204	1211	137	1220	381	385	226	1197	223	228	228	248	767	1497	385
F.RL15000483	713	924	291	1196	785	1006	755	973	978	1103	265	280	272	273	269	0	788	281	1215	1759	313	1232	976	980	627	1201	679	767	774	631	1131	1519	980
F.RL15000493	93	866	795	233	807	922	92	899	891	1123	788	802	796	793	791	788	0	804	1239	1286	826	1269	919	923	845	1229	762	796	800	805	210	1559	923
F.RL15000540	718	929	140	809	246	999	774	970	971	1122	51	52	55	52	52	281	804	0	1211	1217	142	1224	392	397	244	1204	239	245	244	262	793	1508	397
F.RL15000653	1138	1110	1217	1206	1247	1179	1204	1152	1147	239	1205	1212	1215	1205	1204	1215	1239	1211	0	167	1254	55	1407	1411	1262	1	1174	1242	1250	1181	1190	56	1411
F.RL15000655	1156	1121	1223	1435	1518	1189	1247	1161	1159	251	1206	1216	1218	1211	1211	1759	1286	1217	167	0	1259	207	2311	2315	2234	158	1402	1503	1515	2042	1408	199	2315
F.RL15000521	740	952	1	843	250	1020	799	992	993	1126	136	137	140	137	137	313	826	142	1254	1259	0	1264	469	474	288	1247	244	248	248	309	823	1240	474
F.RL15000691	1155	1126	1227	1230	1260	1192	1225	1168	1160	256	1221	1228	1231	1221	1220	1232	1269	1224	55	207	1264	0	1394	1398	1271	55	1187	1253	1260	1186	1214	53	1398
F.RL15000702	769	1031	407	1836	1377	1140	929	1098	1104	1194	390	405	400	403	381	976	919	392	1407	2311	469	1394	0	4	1358	1388	1195	1360	1367	1293	1701	1682	4
F.RL15000703	773	1035	412	1840	1382	1144	933	1102	1108	1198	395	410	405	408	385	980	923	397	1411	2315	474	1398	4	0	1362	1392	1199	1365	1372	1297	1705	1686	0
F.RL15000539	754	976	250	1758	1369	1040	829	1015	1021	1166	227	232	235	237	226	627	845	244	1262	2234	288	1271	1358	1362	0	1243	1226	1347	1354	639	1644	1561	1362
F.RL15000652	1129	1101	1210	1206	1247	1170	1195	1143	1138	240	1198	1205	1208	1198	1197	1201	1229	1204	1	158	1247	55	1388	1392	1243	0	1174	1242	1250	1164	1189	56	1392
F.RL15000064	698	917	208	905	30	974	740	942	946	1099	227	240	231	229	223	679	762	239	1174	1402	244	1187	1195	1199	1226	1174	0	27	21	923	875	1469	1199
F.RL15000350	709	954	212	976	27	1031	773	997	999	1163	232	245	237	234	228	767	796	245	1242	1503	248	1253	1360	1365	1347	1242	27	0	23	987	938	1534	1365
F.RL15001309	706	954	212	984	28	1033	777	999	1001	1169	232	245	237	234	228	774	800	244	1250	1515	248	1260	1367	1372	1354	1250	21	23	0	1005	946	1539	1372
F.RL15001298	724	936	269	1605	1016	987	774	963	968	1147	247	253	254	255	248	631	805	262	1181	2042	309	1186	1293	1297	639	1164	923	987	1005	0	1503	1486	1297
S.RL15001563	182	923	783	40	947	987	182	957	955	1108	770	784	777	771	767	1131	210	793	1190	1408	823	1214	1701	1705	1644	1189	875	938	946	1503	0	1496	1705
F.RL15001986	1428	1416	1205	1492	1543	1485	1496	1459	1452	500	1498	1505	1508	1499	1497	1519	1559	1508	56	199	1240	53	1682	1686	1561	56	1469	1534	1539	1486	1496	0	1686
R.ref-CC31	773	1035	412	1840	1382	1144	933	1102	1108	1198	395	410	405	408	385	980	923	397	1411	2315	474	1398	4	0	1362	1392	1199	1365	1372	1297	1705	1686	0
