	105105_RL1500000801-1	105118_RL1500008301-1	105127_RL1500009601-1	105133_RL1500010201-1	105143_RL1500011701-1	150931_RL1500043702-1	153284_RL1500044001-2	153484_RL1500044101-1	153485_RL1500044201-1	153490_RL1500044701-1	153492_RL1500044901-1	163370_RL1500135001-2	165028_RL1500051101-1	165056_RL1500064902-1	172372_RL1500155801-2	175657_RL1500166101-2	176145_RL1500158901-1	176191_RL1500166301-1	176359_RL1500166801-1	176360_RL1500166601-1	176363_RL1500166501-1	176366_RL1500166401-1	176372_RL1500157101-1	176375_RL1500166701-1	176435_RL1500165601-1	176440_RL1500165701-1	176442_RL1500165801-1	176445_RL1500166001-1	176446_RL1500166201-1	176447_RL1500165901-1	177549_RL1500155901-2	177553_RL1500157001-2	177557_RL1500157501-2	177559_RL1500157701-2	177564_RL1500162101-2	188215_RL1500007101-1	FR733650	RL15003024
F.RL15000008	0	169	27069	131	127	184	26970	26952	26964	26947	159	26992	27132	8166	8062	270	268	271	271	270	270	271	8058	269	272	269	271	272	272	272	137	8069	8079	26876	26985	143	27236	8188
F.RL15000083	169	0	29648	242	234	180	29612	29602	29600	29590	160	29651	29790	8686	8555	297	295	303	302	295	301	297	8548	295	298	296	302	298	300	297	235	8576	8578	29518	29646	4	29947	8723
F.RL15000096	27069	29648	0	29746	29617	30680	3156	3144	3148	3126	30171	3137	104	31308	31285	30326	30357	30490	30549	30396	30506	30119	31050	30424	30341	30446	30482	30500	30468	30413	30534	31457	31385	3117	3201	30347	203	32647
F.RL15000102	131	242	29746	0	2	162	29716	29700	29705	29698	140	29722	29876	8648	8528	327	325	333	333	322	331	323	8558	325	327	324	332	328	329	324	65	8578	8589	29579	29766	226	30043	8656
F.RL15000117	127	234	29617	2	0	160	29591	29575	29580	29573	138	29596	29743	8676	8562	328	326	334	334	323	332	324	8590	326	328	325	333	329	330	325	64	8609	8615	29459	29633	225	29917	8689
F.RL15000437	184	180	30680	162	160	0	30706	30695	30692	30682	2	30706	30889	8608	8600	251	247	251	251	248	251	247	8604	247	251	248	251	250	253	250	148	8621	8625	30567	30769	213	31010	8735
F.RL15000440	26970	29612	3156	29716	29591	30706	0	2	2	9	30175	256	3174	31487	31482	30503	30534	30679	30725	30566	30675	30281	31258	30603	30521	30617	30664	30674	30633	30582	30605	31640	31588	55	190	30415	3448	32816
F.RL15000441	26952	29602	3144	29700	29575	30695	2	0	2	9	30166	246	3162	31480	31474	30482	30514	30659	30704	30545	30654	30261	31240	30583	30500	30596	30643	30653	30612	30562	30589	31622	31570	55	181	30397	3423	32797
F.RL15000442	26964	29600	3148	29705	29580	30692	2	2	0	7	30161	249	3172	31480	31472	30494	30525	30670	30715	30560	30665	30275	31248	30595	30512	30608	30654	30665	30625	30576	30595	31630	31578	53	186	30407	3436	32806
F.RL15000447	26947	29590	3126	29698	29573	30682	9	9	7	0	30151	254	3146	31469	31461	30480	30512	30656	30704	30544	30652	30260	31236	30580	30498	30594	30641	30651	30611	30560	30586	31618	31566	56	190	30393	3415	32791
