cc4_LISEQ;cc4_LISEQ_SNPaddress
RL15000537;RL15000537 - 1.1.1.1.1.1.1
RL15000704;RL15000704 - 1.2.2.2.2.2.2
RL15001338;RL15001338 - 1.3.3.3.3.3.3
RL15001623;RL15001623 - 1.4.4.4.4.4.4
RL15001628;RL15001628 - 1.1.5.5.5.5.5
RL15001649;RL15001649 - 1.5.6.6.6.6.6
RL15002434;RL15002434 - 1.6.7.7.7.7.7
RL15002470;RL15002470 - 1.5.6.8.8.8.8
RL15002443;RL15002443 - 1.5.8.9.9.9.9
RL15002451;RL15002451 - 1.7.9.10.10.10.10
RL15002459;RL15002459 - 1.5.6.8.8.8.8
RL15002458;RL15002458 - 1.5.6.8.8.8.8
RL15002457;RL15002457 - 1.5.10.11.11.11.11
RL15002476;RL15002476 - 1.7.9.10.10.10.12
RL15002477;RL15002477 - 1.5.6.8.8.8.13
RL15002473;RL15002473 - 1.8.11.12.12.12.14
RL15002474;RL15002474 - 1.9.12.13.13.13.15
RL15002472;RL15002472 - 1.5.6.8.8.8.8
RL15002465;RL15002465 - 1.5.6.8.8.8.8
RL15002466;RL15002466 - 1.5.6.8.8.8.8
RL15002460;RL15002460 - 1.10.13.14.14.14.16
RL15002461;RL15002461 - 1.5.6.8.8.8.8
RL15001544;RL15001544 - 1.1.14.15.15.15.17
RL15002433;RL15002433 - 1.11.15.16.16.16.18
RL15002462;RL15002462 - 1.12.16.17.17.17.19
RL15002463;RL15002463 - 1.5.6.8.8.8.8
RL15002467;RL15002467 - 1.1.17.18.18.18.20
RL15002468;RL15002468 - 1.5.6.8.8.8.21
RL15002471;RL15002471 - 1.12.16.19.19.19.22
RL15002475;RL15002475 - 1.1.18.20.20.20.23
RL15002478;RL15002478 - 1.1.18.20.20.20.23
RL15002479;RL15002479 - 1.7.9.10.10.10.12
RL15002480;RL15002480 - 1.7.9.10.10.10.24
RL15002481;RL15002481 - 1.1.19.21.21.21.25
RL15002464;RL15002464 - 1.5.6.8.8.8.8
RL15003004;RL15003004 - 1.13.20.22.22.22.26
Clip80459;Clip80459 - 1.14.21.23.23.23.27
