	105113_RL1500001701-1	105119_RL1500008401-1	105121_RL1500008801-1	105125_RL1500009401-1	105126_RL1500009501-1	105128_RL1500009701-1	105131_RL1500010001-1	105132_RL1500010101-1	105134_RL1500010501-1	105137_RL1500010901-1	105141_RL1500011501-1	105150_RL1500012601-1	105164_RL1500017901-1	106070_RL1500019201-1	106072_RL1500019401-1	106094_RL1500021001-1	118145_RL1500014901-2	150653_RL1500002901-1	150663_RL1500012001-1	150667_RL1500013201-1	150669_RL1500014101-1	150670_RL1500019301-1	150678_RL1500022001-1	150695_RL1500023801-1	150863_RL1500024501-1	150920_RL1500042302-1	150921_RL1500042602-1	150922_RL1500042802-1	150923_RL1500042902-1	150930_RL1500043602-1	153223_RL1500026701-2	153226_RL1500027001-2	153230_RL1500027401-2	153235_RL1500028101-2	153242_RL1500028801-2	153246_RL1500029201-2	153247_RL1500029301-2	153248_RL1500029401-2	153252_RL1500029801-2	153254_RL1500030001-2	153259_RL1500030501-2	153263_RL1500033201-2	153265_RL1500033401-2	153266_RL1500033501-2	153271_RL1500034101-2	153280_RL1500042402-2	153281_RL1500042502-2	153508_RL1500046501-1	153547_RL1500050601-1	159975_RL1500032302-2	159978_RL1500038702-2	160003_RL1500065702-2	160018_RL1500128202-2	160033_RL1500052701-2	160048_RL1500066301-2	160051_RL1500066601-2	160075_RL1500069501-2	160093_RL1500071601-2	163343_RL1500132301-2	163351_RL1500133201-2	163356_RL1500133501-2	165013_RL1500031502-1	168139_RL1500005702-2	168140_RL1500005902-2	172327_RL1500010601-2	172367_RL1500155301-2	172368_RL1500155401-2	172373_RL1500156101-2	175637_RL1500132101-2	175641_RL1500132701-2	176149_RL1500159301-1	176151_RL1500159501-1	176161_RL1500160501-1	176181_RL1500162901-1	176189_RL1500163801-1	176395_RL1500164201-1	176431_RL1500165301-1	177519_RL1500029101-2	177520_RL1500029901-2	177522_RL1500033001-2	177523_RL1500033701-2	177533_RL1500129001-2	177548_RL1500154501-2	177558_RL1500157601-2	177560_RL1500158001-2	177561_RL1500158201-2	177568_RL1500164001-2	188213_RL1500005201-1	188214_RL1500006701-1	188223_RL1500029001-1	188225_RL1500035901-1	189887_RL1500243201-2	191714_RL1500017101-2	227112_RL1500300103-2	227118_RL1500300803-2	CP006862	RL15003015	RL15003025	RL15003028
F.RL15000017	0	1189	575	599	569	1313	619	1102	570	651	979	1995	768	46	44	673	2337	1103	505	1526	2440	2397	1045	1152	2635	35	35	36	35	755	671	646	661	1462	1220	38	37	38	1214	1159	1034	685	38	1140	2429	37	35	34	3071	889	938	59	866	1078	2390	1269	1447	1157	785	786	2432	1292	2018	2271	658	1576	966	653	786	1194	3639	33	1201	901	44	1247	1114	38	38	686	1271	2601	41	917	752	39	36	1322	2195	1241	36	431	884	1588	1122	2490	754	759	1035
F.RL15000084	1189	0	1199	1264	1224	2018	1300	57	1220	1363	215	937	1084	17	15	1431	3063	1058	1409	2161	2480	2002	1293	1275	1991	1347	1346	1363	1343	1209	1417	1345	1404	2271	1208	1367	1346	1351	2222	1345	1278	1540	1367	1329	2031	1361	1346	1306	3958	1154	1181	1380	1408	920	3181	1074	1253	865	1318	1330	3215	1111	1897	1912	1361	2221	1007	1389	1316	1290	3516	1331	1242	1201	1346	1021	1243	1307	1354	1540	3	2670	45	1041	1134	1364	1359	1419	2488	4	1360	1170	1290	2229	1237	2591	1186	1175	978
F.RL15000088	575	1199	0	14	11	749	13	1092	11	5	943	1846	830	15	13	13	2498	896	130	1418	2189	2186	775	940	2228	642	650	646	648	1124	12	7	18	810	911	655	647	648	1424	782	776	547	647	771	2192	655	642	625	3286	849	743	671	687	892	2574	1073	1164	1202	669	675	2607	1058	1934	2085	8	1481	938	12	662	900	3419	637	898	829	647	1033	1085	620	641	549	1255	2579	44	916	798	651	650	1029	1992	1245	651	964	748	1473	932	1972	797	796	999
F.RL15000094	599	1264	14	0	9	800	11	1150	3	11	995	1951	885	7	11	11	2540	936	139	1541	2404	2326	802	986	2412	674	683	678	680	1169	10	13	16	878	963	689	679	680	1555	835	805	579	682	818	2331	688	674	655	3410	902	778	704	739	954	2635	1129	1246	1254	709	716	2668	1110	2049	2217	14	1605	975	10	702	950	3550	670	938	872	682	1088	1233	648	674	581	1319	2658	42	1015	854	684	683	1069	2187	1304	684	1012	787	1582	978	2190	856	855	1044
F.RL15000095	569	1224	11	9	0	770	8	1115	6	8	962	1891	843	10	8	8	2513	900	131	1470	2322	2248	774	935	2339	629	638	634	636	1125	7	10	13	844	920	644	637	638	1497	790	777	551	636	776	2253	642	629	612	3358	851	745	660	695	916	2604	1081	1170	1212	670	678	2635	1047	1968	2140	11	1534	930	7	664	897	3466	625	897	831	635	1037	1205	614	631	553	1272	2654	39	993	803	639	638	1019	2114	1259	639	957	756	1517	941	2115	804	804	998
F.RL15000097	1313	2018	749	800	770	0	809	1874	745	808	1743	1127	1602	849	839	823	2487	1718	960	1419	2120	1830	1614	1732	2137	1486	1499	1488	1490	1975	841	766	840	7	1748	1518	1494	1488	1386	1586	1615	1404	1500	1560	1836	1511	1493	1432	3186	1652	1559	1524	1545	1736	3412	1890	1246	2017	1498	1518	2585	1046	1685	1762	825	1545	1766	825	1489	1712	3388	1476	1702	1658	1489	1824	1006	1451	1497	1392	2097	2410	876	832	1612	1511	1500	1864	1906	2070	1498	1792	1555	1535	1745	1879	1639	1619	1854
F.RL15000100	619	1300	13	11	8	809	0	1179	8	10	1010	1991	901	13	5	8	2561	958	154	1566	2474	2382	826	1036	2488	699	708	703	705	1207	9	12	13	889	1007	714	706	706	1606	859	827	599	707	843	2390	713	700	679	3467	917	800	730	764	973	2669	1164	1253	1270	732	740	2701	1131	2088	2278	13	1632	1002	7	725	983	3593	695	968	890	703	1118	1280	670	700	601	1355	2698	41	1064	867	709	707	1102	2273	1342	709	1037	817	1623	998	2282	869	869	1068
F.RL15000101	1102	57	1092	1150	1115	1874	1179	0	1116	1227	180	952	1029	13	11	1279	2969	993	1271	2002	2289	1888	1240	1209	1890	1239	1247	1255	1246	1174	1267	1215	1253	2100	1149	1257	1244	1249	2070	1245	1222	1408	1256	1228	1917	1260	1248	1210	3806	1040	1099	1279	1291	905	3057	1072	1235	827	1218	1217	3100	1076	1793	1801	1232	2082	969	1246	1216	1233	3438	1233	1181	1163	1247	1023	1118	1211	1247	1402	56	2611	41	985	1043	1258	1247	1333	2321	55	1248	1148	1151	2088	1209	2390	1084	1088	940
F.RL15000105	570	1220	11	3	6	745	8	1116	0	8	953	1860	844	4	8	8	2474	891	125	1410	2255	2190	748	930	2271	635	645	642	642	1118	7	10	13	824	917	650	642	642	1467	765	751	533	642	756	2199	650	636	618	3275	838	735	665	688	877	2544	1039	1152	1175	664	670	2582	1043	1922	2090	11	1465	928	7	656	898	3413	632	886	815	641	1009	1139	616	637	534	1268	2589	38	953	795	646	645	1011	2054	1257	646	967	744	1457	914	2039	800	800	993
F.RL15000109	651	1363	5	11	8	808	10	1227	8	0	1037	2051	962	13	11	10	2592	1045	168	1629	2613	2486	906	1143	2646	730	744	739	741	1298	9	4	15	880	1080	751	742	743	1662	915	907	641	744	901	2493	750	735	715	3515	977	856	763	825	1043	2727	1244	1345	1368	795	802	2754	1240	2180	2375	5	1703	1076	9	788	1080	3711	730	1056	994	736	1212	1340	702	732	642	1431	2721	42	1073	938	746	740	1177	2417	1416	745	1130	877	1680	1098	2452	945	934	1161
