	106060_RL1500002501-1	118162_RL1500015001-2	150882_RL1500036302-1	150907_RL1500040402-1	153272_RL1500034201-2	153273_RL1500034301-2	153535_RL1500049201-1	159991_RL1500054102-2	160088_RL1500071001-2	172352_RL1500152701-2	176144_RL1500158801-1	177521_RL1500032401-2	189890_RL1500243501-2	191715_RL1500037601-2	5597_RL10000048-2	5598_RL10000049-2	5599_RL10000050-2	CP006592
F.RL15000025	0	71	474	618	118	112	74	200	431	170	644	250	102	472	325	316	323	697
F.RL15000150	71	0	591	714	100	101	12	82	594	71	723	617	91	589	314	306	313	841
F.RL15000363	474	591	0	728	690	678	655	679	37	679	1075	587	636	8	340	333	340	936
F.RL15000404	618	714	728	0	847	833	793	861	716	818	1302	816	828	723	348	335	347	770
F.RL15000342	118	100	690	847	0	5	101	94	693	117	786	698	103	686	371	362	369	1040
F.RL15000343	112	101	678	833	5	0	102	95	681	113	786	689	104	676	368	359	366	1023
F.RL15000492	74	12	655	793	101	102	0	83	657	73	745	664	92	653	345	337	344	981
F.RL15000541	200	82	679	861	94	95	83	0	627	174	817	679	53	670	346	335	345	1067
F.RL15000710	431	594	37	716	693	681	657	627	0	682	1082	595	638	41	361	353	360	927
S.RL15001527	170	71	679	818	117	113	73	174	682	0	761	656	103	674	340	333	340	983
S.RL15001588	644	723	1075	1302	786	786	745	817	1082	761	0	923	778	1077	340	337	344	1522
S.RL15000324	250	617	587	816	698	689	664	679	595	656	923	0	677	593	295	290	296	1045
S.RL15002435	102	91	636	828	103	104	92	53	638	103	778	677	0	634	371	362	369	1025
F.RL15000376	472	589	8	723	686	676	653	670	41	674	1077	593	634	0	345	338	345	931
F.RL10000048	325	314	340	348	371	368	345	346	361	340	340	295	371	345	0	0	3	264
F.RL10000049	316	306	333	335	362	359	337	335	353	333	337	290	362	338	0	0	2	252
F.RL10000050	323	313	340	347	369	366	344	345	360	340	344	296	369	345	3	2	0	264
R.CP006592	697	841	936	770	1040	1023	981	1067	927	983	1522	1045	1025	931	264	252	264	0
