	106076_RL1500019601-1	118137_RL1500005801-2	150659_RL1500010301-1	150679_RL1500022101-1	150880_RL1500036102-1	150883_RL1500036402-1	150905_RL1500040202-1	153207_RL1500021101-2	153529_RL1500048601-1	153533_RL1500049001-1	153539_RL1500049701-1	153548_RL1500050701-1	153554_RL1500051501-1	160012_RL1500072102-2	160054_RL1500067001-2	160074_RL1500069401-2	160086_RL1500070801-2	163323_RL1500067201-2	163329_RL1500130301-2	163349_RL1500132901-2	163364_RL1500134401-2	163371_RL1500135101-2	163382_RL1500137501-2	163384_RL1500137801-2	168184_RL1500131701-2	172326_RL1500003601-2	172354_RL1500152901-2	172356_RL1500153201-2	172364_RL1500154701-2	172365_RL1500154801-2	175631_RL1500130501-2	176116_RL1400005101-1	176119_RL1400006701-1	176123_RL1400008001-1	176177_RL1500162501-1	176194_RL1500198201-1	176374_RL1500067301-1	176390_RL1500164501-1	176398_RL1500164701-1	177565_RL1500162201-2	177567_RL1500163701-2	188198_RL1400007601-1	188200_RL1400007801-1	188201_RL1400007901-1	188202_RL1400008501-1	189894_RL1500243701-2	189911_RL1500242901-2	191975_RL1500244601-1	27072_RL1000007-1	27073_RL1000009-1	5559_RL1000003-2	5560_RL1000004-2	5561_RL1000005-2	5562_RL1000006-2	5565_RL10000014-2	5611_RL10000065-2	5612_RL10000066-2	5614_RL10000068-2	5615_RL10000069-2	5616_RL10000070-2	5617_RL10000071-2	5620_RL10000074-2	5625_RL10000082-2	5627_RL10000084-2	CP006047	RL15003018	RL15003020	RL15003021	RL15003022
F.RL15000196	0	103	12	104	109	112	105	102	105	119	104	116	103	122	118	96	105	115	84	109	113	106	113	133	80	127	118	116	113	119	90	94	97	99	100	82	115	100	92	114	123	99	38	99	97	101	107	81	95	94	95	95	94	95	99	94	98	94	102	98	99	41	102	99	116	100	86	102	90
F.RL15000058	103	0	104	367	396	403	446	472	449	465	442	519	373	467	191	359	426	179	352	21	448	433	473	457	325	354	394	387	480	481	353	444	371	440	460	337	182	455	446	410	426	372	376	444	370	433	288	428	447	449	453	448	415	441	281	366	376	354	397	380	381	269	398	385	542	460	434	469	476
F.RL15000103	12	104	0	105	109	112	102	102	105	119	104	116	103	122	117	96	105	114	84	109	110	106	113	133	80	125	118	116	113	119	88	94	95	99	98	82	114	100	92	114	122	97	38	99	95	101	104	81	95	94	95	95	94	95	99	94	96	92	100	96	97	39	100	97	115	101	86	103	91
F.RL15000221	104	367	105	0	699	708	687	361	1060	369	1008	877	1064	384	183	779	556	170	349	452	607	342	654	959	528	814	675	669	366	371	311	714	1543	710	347	348	173	347	625	485	657	1566	580	719	1549	847	911	868	712	703	715	710	708	717	631	1530	1472	1179	1431	1550	1562	499	1404	1578	808	966	944	996	1005
F.RL15000361	109	396	109	699	0	7	1135	854	1146	864	1104	848	947	419	212	617	698	194	498	510	674	776	721	928	627	860	437	431	851	876	429	689	1438	685	842	498	204	853	695	585	668	1467	575	691	1433	890	1112	845	682	679	685	686	686	692	850	1422	1366	1084	1344	1446	1442	429	1333	1475	917	891	866	897	879
F.RL15000364	112	403	112	708	7	0	1147	865	1157	876	1114	858	952	423	214	622	707	197	501	515	690	788	733	935	638	870	439	433	863	887	437	699	1448	695	858	501	206	864	707	589	684	1477	585	701	1443	900	1126	850	692	688	694	695	695	702	854	1428	1375	1093	1351	1454	1452	441	1342	1485	933	896	871	904	886
F.RL15000402	105	446	102	687	1135	1147	0	902	2636	2160	2588	1225	1180	480	211	1075	1226	195	457	521	2266	2060	1000	1204	848	2197	1015	1005	906	911	1702	1052	2658	1047	2174	456	202	2141	964	1061	2107	2689	891	1057	2666	2297	1055	1156	1057	1056	1055	1057	2308	1055	769	1485	2598	2435	2710	2666	2683	1776	2692	2704	2691	1201	1177	1234	1226
F.RL15000211	102	472	102	361	854	865	902	0	1144	70	1105	1108	1194	528	218	915	684	201	570	574	625	56	559	1012	520	982	788	781	55	61	541	627	1637	627	46	562	211	51	538	559	573	1656	532	631	1631	901	1092	1123	624	619	627	622	620	628	856	1637	1570	1272	1535	1642	1652	403	1508	1672	1061	1173	1153	1200	1214
F.RL15000486	105	449	105	1060	1146	1157	2636	1144	0	1123	1	896	1047	505	217	827	1916	201	610	603	1235	1030	1155	1503	1088	1617	1103	1094	1146	1172	653	1162	1551	1153	1231	613	207	1109	1128	1187	1581	1572	796	1170	1561	530	2425	1125	1154	1158	1170	1158	1149	1156	1017	1176	1490	1334	1675	1550	1559	808	1639	1584	1510	1104	1071	1132	1141
F.RL15000490	119	465	119	369	864	876	2160	70	1123	0	1083	1096	1230	493	231	923	1727	210	564	575	740	71	562	991	528	1367	811	804	81	87	634	592	1995	592	179	561	223	69	541	589	1064	2028	519	597	2001	862	2370	1109	589	584	592	587	593	593	849	1614	1930	1627	1889	2000	2016	724	1848	2041	1362	1161	1143	1189	1202
