cc8_LISEQ;cc8_LISEQ_SNPaddress
RL15000017;RL15000017 - 1.1.1.1.1.1.1
RL15000084;RL15000084 - 1.1.1.2.2.2.2
RL15000088;RL15000088 - 1.1.1.2.2.3.3
RL15000094;RL15000094 - 1.1.1.2.2.4.4
RL15000095;RL15000095 - 1.1.1.2.2.5.5
RL15000097;RL15000097 - 2.2.2.3.3.6.6
RL15000100;RL15000100 - 1.1.1.2.2.7.7
RL15000101;RL15000101 - 1.1.1.2.4.8.8
RL15000105;RL15000105 - 1.1.1.2.2.4.9
RL15000109;RL15000109 - 1.1.1.2.2.3.10
RL15000115;RL15000115 - 1.1.1.2.5.9.11
RL15000126;RL15000126 - 3.3.3.4.6.10.12
RL15000179;RL15000179 - 1.1.1.5.7.11.13
RL15000192;RL15000192 - 1.1.1.2.2.4.14
RL15000194;RL15000194 - 1.1.1.2.2.7.15
RL15000210;RL15000210 - 1.1.1.2.2.12.16
RL15000149;RL15000149 - 4.4.4.6.8.13.17
RL15000029;RL15000029 - 1.1.1.7.9.14.18
RL15000120;RL15000120 - 1.1.1.2.2.15.19
RL15000132;RL15000132 - 5.5.5.8.10.16.20
RL15000141;RL15000141 - 1.6.6.9.11.17.21
RL15000193;RL15000193 - 6.7.7.10.12.18.22
RL15000220;RL15000220 - 1.1.1.11.13.19.23
RL15000238;RL15000238 - 1.1.1.12.14.20.24
RL15000245;RL15000245 - 1.8.8.13.15.21.25
RL15000423;RL15000423 - 1.1.1.14.16.22.26
RL15000426;RL15000426 - 1.1.1.14.16.22.26
RL15000428;RL15000428 - 1.1.1.14.16.22.27
RL15000429;RL15000429 - 1.1.1.14.16.22.26
RL15000436;RL15000436 - 1.1.1.15.17.23.28
RL15000267;RL15000267 - 1.1.1.2.2.24.29
RL15000270;RL15000270 - 1.1.1.2.2.3.30
RL15000274;RL15000274 - 1.1.1.2.2.25.31
RL15000281;RL15000281 - 2.2.2.3.3.26.32
RL15000288;RL15000288 - 1.1.1.16.18.27.33
RL15000292;RL15000292 - 1.1.1.17.19.28.34
RL15000293;RL15000293 - 1.1.1.17.19.28.35
RL15000294;RL15000294 - 1.1.1.17.19.28.36
RL15000298;RL15000298 - 1.9.9.18.20.29.37
RL15000300;RL15000300 - 1.1.1.19.21.30.38
RL15000305;RL15000305 - 1.1.10.20.22.31.39
RL15000332;RL15000332 - 1.1.1.21.23.32.40
RL15000334;RL15000334 - 1.1.1.17.19.28.36
RL15000335;RL15000335 - 1.1.1.19.21.30.38
RL15000341;RL15000341 - 6.7.7.10.12.18.41
RL15000424;RL15000424 - 1.1.1.14.16.22.42
RL15000425;RL15000425 - 1.1.1.14.16.22.26
RL15000465;RL15000465 - 1.1.1.14.24.33.43
RL15000506;RL15000506 - 4.4.4.22.25.34.44
RL15000323;RL15000323 - 1.1.1.23.26.35.45
RL15000387;RL15000387 - 1.1.11.24.27.36.46
RL15000657;RL15000657 - 1.1.1.25.28.37.47
RL15001282;RL15001282 - 1.1.1.26.29.38.48
RL15000527;RL15000527 - 1.1.1.27.30.39.49
RL15000663;RL15000663 - 4.4.4.6.31.40.50
RL15000666;RL15000666 - 1.1.1.28.32.41.51
RL15000695;RL15000695 - 7.10.12.29.33.42.52
RL15000716;RL15000716 - 1.1.1.30.34.43.53
RL15001323;RL15001323 - 1.1.1.31.35.44.54
RL15001332;RL15001332 - 1.1.1.31.35.45.55
RL15001335;RL15001335 - 4.4.4.6.8.46.56
RL15000315;RL15000315 - 1.1.13.32.36.47.57
RL15000057;RL15000057 - 8.11.14.33.37.48.58
RL15000059;RL15000059 - 6.7.7.10.12.18.59
RL15000106;RL15000106 - 1.1.1.2.2.3.60
RL15001553;RL15001553 - 5.5.15.34.38.49.61
RL15001554;RL15001554 - 1.1.1.35.39.50.62
RL15001561;RL15001561 - 1.1.1.2.2.12.63
RL15001321;RL15001321 - 1.1.1.31.35.45.64
RL15001327;RL15001327 - 1.1.1.36.40.51.65
RL15001593;RL15001593 - 9.12.16.37.41.52.66
RL15001595;RL15001595 - 1.1.1.14.42.53.67
RL15001605;RL15001605 - 1.1.1.38.43.54.68
RL15001629;RL15001629 - 1.1.1.39.44.55.69
RL15001638;RL15001638 - 1.1.1.40.45.56.70
RL15001642;RL15001642 - 1.1.1.41.46.57.71
RL15001653;RL15001653 - 1.6.6.9.11.17.72
RL15000291;RL15000291 - 1.1.1.17.19.28.73
RL15000299;RL15000299 - 1.1.1.17.19.28.36
RL15000330;RL15000330 - 1.1.1.21.23.32.74
RL15000337;RL15000337 - 1.1.1.2.2.2.75
RL15001290;RL15001290 - 4.13.17.42.47.58.76
RL15001545;RL15001545 - 1.1.1.43.48.59.77
RL15001576;RL15001576 - 1.9.18.44.49.60.78
RL15001580;RL15001580 - 1.1.1.45.50.61.79
RL15001582;RL15001582 - 1.1.1.17.51.62.80
RL15001640;RL15001640 - 1.1.1.14.52.63.81
RL15000052;RL15000052 - 1.1.1.46.53.64.82
RL15000067;RL15000067 - 1.6.19.47.54.65.83
RL15000290;RL15000290 - 1.1.1.2.2.2.84
RL15000359;RL15000359 - 1.1.1.14.55.66.85
RL15002432;RL15002432 - 1.1.1.48.56.67.86
RL15000171;RL15000171 - 1.1.1.49.57.68.87
RL15003001;RL15003001 - 5.5.15.34.58.69.88
RL15003008;RL15003008 - 1.1.20.50.59.70.89
CP006862;CP006862 - 1.6.6.51.60.71.90
RL15003015;RL15003015 - 1.1.1.52.61.72.91
RL15003025;RL15003025 - 1.1.1.45.50.73.92
RL15003028;RL15003028 - 1.1.1.53.62.74.93
