	105151_RL1500012701-1	105155_RL1500013501-1	150668_RL1500014001-1	150671_RL1500019801-1	150881_RL1500036202-1	150908_RL1500040502-1	150909_RL1500040602-1	150910_RL1500040702-1	150913_RL1500041502-1	150925_RL1500043102-1	150926_RL1500043202-1	150927_RL1500043302-1	150928_RL1500043402-1	150929_RL1500043502-1	153525_RL1500048201-1	153545_RL1500050401-1	159973_RL1500028002-2	159988_RL1500043002-2	160015_RL1500127802-2	160017_RL1500128002-2	160026_RL1500052001-2	160050_RL1500066501-2	160065_RL1500068401-2	160068_RL1500068801-2	163333_RL1500130701-2	163360_RL1500133901-2	163363_RL1500134301-2	163365_RL1500134501-2	163368_RL1500134801-2	163372_RL1500135201-2	165020_RL1500032202-1	168134_RL1500004802-2	168138_RL1500005602-2	172329_RL1500030901-2	172338_RL1500141701-2	172340_RL1500142001-2	172342_RL1500142301-2	176125_RL1500064601-1	176143_RL1500158701-1	176146_RL1500159001-1	176152_RL1500159601-1	176192_RL1500173701-1	176196_RL1500198401-1	176391_RL1500164301-1	176394_RL1500164401-1	176439_RL1500165501-1	177527_RL1500047301-2	177545_RL1500154001-2	177569_RL1500165201-2	188219_RL1500015701-1	188222_RL1500018001-1	189884_RL1500243101-2	189888_RL1500243901-2	189891_RL1500245401-2	189897_RL1500242801-2	191977_RL1500244901-1	191978_RL1500245001-1	191979_RL1500245201-1	CP006046	RL15003029
F.RL15000127	0	652	826	1077	1225	486	485	643	843	219	220	216	219	217	218	222	649	218	555	768	214	582	219	805	924	220	799	757	784	963	763	9	12	219	218	217	211	907	501	426	956	207	928	602	780	743	827	233	882	7	12	1118	494	240	657	1079	637	754	1096	722
F.RL15000135	652	0	397	347	459	325	314	367	551	81	83	80	80	81	67	74	276	80	343	373	76	384	85	391	458	81	386	284	425	417	363	684	690	38	77	77	76	445	327	254	366	74	458	265	449	326	404	96	15	735	742	536	221	77	269	529	370	424	754	435
F.RL15000140	826	397	0	689	967	202	199	344	1082	40	42	39	39	40	55	62	357	39	207	108	31	378	59	31	101	56	103	125	37	862	694	940	945	55	32	32	51	170	173	203	905	49	105	349	52	60	20	71	522	996	1003	1152	218	92	357	1116	346	95	1375	797
F.RL15000198	1077	347	689	0	1033	242	241	446	1181	65	67	64	64	65	65	72	299	64	389	670	60	421	69	706	837	67	667	600	694	727	750	1198	1210	66	61	61	62	822	332	250	891	60	844	289	670	675	714	82	657	1235	1248	1342	233	80	294	1330	451	686	1587	768
F.RL15000362	1225	459	967	1033	0	379	369	441	1272	98	100	97	98	98	95	103	523	97	420	915	93	516	101	953	985	99	881	861	970	1158	1102	1397	1378	97	94	94	94	1008	357	327	925	91	993	444	954	830	953	113	845	1438	1437	1030	365	144	519	963	484	967	1392	1160
F.RL15000405	486	325	202	242	379	0	0	352	358	39	41	38	38	39	63	70	258	38	382	229	42	310	67	191	266	63	219	216	251	265	209	525	535	62	43	43	58	289	356	294	271	56	267	261	275	327	228	78	264	567	580	369	190	89	258	372	355	452	668	282
F.RL15000406	485	314	199	241	369	0	0	344	358	39	41	38	38	39	64	71	258	38	383	224	42	309	67	188	263	63	216	215	249	264	205	524	534	62	43	43	58	286	348	286	270	56	264	261	273	326	225	78	254	567	579	370	181	90	258	372	347	448	658	277
F.RL15000407	643	367	344	446	441	352	344	0	574	77	79	76	77	77	78	85	397	76	261	311	72	439	81	356	405	78	326	286	359	469	292	686	693	76	73	73	73	403	184	282	357	70	409	339	390	334	362	92	274	769	781	545	328	104	392	548	91	446	835	398
F.RL15000415	843	551	1082	1181	1272	358	358	574	0	46	48	45	45	46	62	71	545	45	491	999	41	495	63	1040	1131	60	1033	1028	1070	931	829	953	960	58	42	42	55	1154	444	335	962	51	1151	540	1073	968	1073	75	1042	988	1003	845	376	107	552	976	567	1097	1260	889
F.RL15000431	219	81	40	65	98	39	39	77	46	0	2	1	1	2	64	70	63	1	81	41	45	72	70	45	44	66	39	48	49	66	55	227	229	65	46	46	61	64	68	72	84	59	48	66	39	68	41	81	78	223	228	78	43	75	64	73	79	44	251	113
