	106092_RL1500020901-1	118160_RL1500008101-2	14553_RL14000057-1	150654_RL1500003001-1	150661_RL1500010801-1	153206_RL1500008601-2	153240_RL1500028601-2	159976_RL1500032502-2	159985_RL1500041002-2	160060_RL1500067901-2	160066_RL1500068601-2	160079_RL1500070001-2	165058_RL1500071902-1	168133_RL1500004102-2	168145_RL1500006502-2	168153_RL1500007902-2	168155_RL1500008202-2	172355_RL1500153001-2	172357_RL1500153401-2	172358_RL1500153501-2	176178_RL1500162601-1	176185_RL1500163301-1	177514_RL1400005301-2	177528_RL1500050001-2	177536_RL1500129501-2	188199_RL1400007701-1	191711_RL1500003201-2	5604_RL10000055-2	5605_RL10000056-2	5624_RL10000081-2	5626_RL10000083-2	CP006594
F.RL15000209	0	304	225	521	416	388	251	272	207	104	277	236	478	525	369	354	342	250	87	110	126	104	230	451	107	325	100	225	215	312	277	840
F.RL15000081	304	0	318	345	8	15	149	202	205	130	287	170	409	325	23	34	5	227	110	136	192	125	321	304	132	249	121	314	305	233	326	366
F.RL14000057	225	318	0	493	405	393	1135	181	1384	128	373	977	613	473	369	372	360	301	108	133	1026	124	17	453	132	456	120	19	0	435	416	2287
F.RL15000030	521	345	493	0	435	425	228	275	244	153	334	219	552	20	415	380	386	269	132	160	235	148	506	385	155	423	141	486	477	405	593	639
F.RL15000108	416	8	405	435	0	11	153	208	211	136	323	174	488	426	21	31	5	252	113	142	200	131	412	338	139	274	126	397	394	256	424	572
F.RL15000086	388	15	393	425	11	0	159	214	217	142	326	180	481	413	28	38	12	252	119	148	206	137	398	344	145	277	132	385	380	260	422	551
F.RL15000286	251	149	1135	228	153	159	0	98	1538	109	242	1066	274	217	150	161	141	151	58	115	945	76	1162	241	113	234	71	1125	167	229	246	1882
S.RL15000325	272	202	181	275	208	214	98	0	267	140	160	250	276	261	205	215	197	182	83	146	182	54	170	280	144	245	96	174	180	243	209	347
F.RL15000410	207	205	1384	244	211	217	1538	267	0	137	322	1170	268	234	207	217	197	225	134	143	1295	152	1445	224	127	239	147	1374	244	234	235	1497
F.RL15000679	104	130	128	153	136	142	109	140	137	0	121	133	65	145	132	144	122	123	107	74	132	125	128	86	115	75	120	131	127	74	71	143
F.RL15000686	277	287	373	334	323	326	242	160	322	121	0	294	360	331	312	319	305	171	58	127	221	82	364	398	125	288	71	358	316	281	400	614
F.RL15000700	236	170	977	219	174	180	1066	250	1170	133	294	0	244	204	170	182	158	212	128	139	892	146	1020	217	138	268	141	963	234	263	238	1883
F.RL15000719	478	409	613	552	488	481	274	276	268	65	360	244	0	524	459	451	448	343	118	85	224	136	607	428	126	425	131	595	558	417	463	943
F.RL15000041	525	325	473	20	426	413	217	261	234	145	331	204	524	0	402	360	366	271	123	151	218	139	489	384	148	431	135	470	465	413	560	603
F.RL15000065	369	23	369	415	21	28	150	205	207	132	312	170	459	402	0	24	19	244	110	138	197	128	374	334	135	263	123	363	356	245	397	525
F.RL15000079	354	34	372	380	31	38	161	215	217	144	319	182	451	360	24	0	30	239	122	150	205	138	379	327	146	268	134	367	360	251	386	445
F.RL15000082	342	5	360	386	5	12	141	197	197	122	305	158	448	366	19	30	0	217	104	131	190	120	364	316	127	254	116	358	351	239	380	455
S.RL15001530	250	227	301	269	252	252	151	182	225	123	171	212	343	271	244	239	217	0	32	129	168	84	296	288	127	288	45	297	291	284	256	468
S.RL15001534	87	110	108	132	113	119	58	83	134	107	58	128	118	123	110	122	104	32	0	113	75	68	107	126	112	114	30	111	105	113	111	129
S.RL15001535	110	136	133	160	142	148	115	146	143	74	127	139	85	151	138	150	131	129	113	0	138	131	133	92	121	81	126	136	132	80	77	149
S.RL15001626	126	192	1026	235	200	206	945	182	1295	132	221	892	224	218	197	205	190	168	75	138	0	46	1068	285	135	158	88	1018	236	154	237	1798
S.RL15001633	104	125	124	148	131	137	76	54	152	125	82	146	136	139	128	138	120	84	68	131	46	0	124	143	129	132	81	127	121	130	128	146
F.RL14000053	230	321	17	506	412	398	1162	170	1445	128	364	1020	607	489	374	379	364	296	107	133	1068	124	0	444	132	447	120	22	17	436	402	2415
F.RL15000500	451	304	453	385	338	344	241	280	224	86	398	217	428	384	334	327	316	288	126	92	285	143	444	0	133	415	138	447	477	407	281	648
F.RL15001295	107	132	132	155	139	145	113	144	127	115	125	138	126	148	135	146	127	127	112	121	135	129	132	133	0	122	124	135	131	120	118	146
F.RL14000077	325	249	456	423	274	277	234	245	239	75	288	268	425	431	263	268	254	288	114	81	158	132	447	415	122	0	127	449	426	2	372	859
F.RL15000032	100	121	120	141	126	132	71	96	147	120	71	141	131	135	123	134	116	45	30	126	88	81	120	138	124	127	0	123	117	125	123	141
F.RL10000055	225	314	19	486	397	385	1125	174	1374	131	358	963	595	470	363	367	358	297	111	136	1018	127	22	447	135	449	123	0	19	429	386	2278
F.RL10000056	215	305	0	477	394	380	167	180	244	127	316	234	558	465	356	360	351	291	105	132	236	121	17	477	131	426	117	19	0	409	359	659
F.RL10000081	312	233	435	405	256	260	229	243	234	74	281	263	417	413	245	251	239	284	113	80	154	130	436	407	120	2	125	429	409	0	360	834
F.RL10000083	277	326	416	593	424	422	246	209	235	71	400	238	463	560	397	386	380	256	111	77	237	128	402	281	118	372	123	386	359	360	0	803
R.CP006594	840	366	2287	639	572	551	1882	347	1497	143	614	1883	943	603	525	445	455	468	129	149	1798	146	2415	648	146	859	141	2278	659	834	803	0
