	150702_RL1500024701-1	150703_RL1500024801-1	150709_RL1500025401-1	150710_RL1500025501-1	150904_RL1500040102-1	153215_RL1500025901-2	153262_RL1500033101-2	163357_RL1500133601-2	163358_RL1500133701-2	165027_RL1500050201-1	168183_RL1500131301-2	168196_RL1500137901-2	168199_RL1500138301-2	172371_RL1500155701-2	176127_RL1500129301-1	177540_RL1500137701-2	189867_RL1500242601-2	ref	RL15003016
F.RL15000247	0	1	1	5	5	6	94	90	94	88	91	68	68	219	84	90	101	68	6
F.RL15000248	1	0	2	6	6	7	95	91	95	89	92	69	69	219	85	91	101	69	7
F.RL15000254	1	2	0	4	4	5	93	89	93	87	90	67	67	218	83	89	100	67	5
F.RL15000255	5	6	4	0	6	1	98	90	94	92	91	68	68	223	88	90	101	71	7
F.RL15000401	5	6	4	6	0	7	91	87	91	85	88	65	65	216	81	87	98	65	7
F.RL15000259	6	7	5	1	7	0	96	92	96	90	93	70	70	221	86	92	103	70	8
F.RL15000331	94	95	93	98	91	96	0	76	80	62	77	102	102	241	70	76	123	102	96
O.RL15001336	90	91	89	90	87	92	76	0	12	70	9	98	98	238	52	2	119	98	92
O.RL15001337	94	95	93	94	91	96	80	12	0	74	3	102	102	242	56	12	123	102	96
F.RL15000502	88	89	87	92	85	90	62	70	74	0	70	96	96	236	64	70	117	96	90
O.RL15001313	91	92	90	91	88	93	77	9	3	70	0	99	99	237	53	9	119	98	93
S.RL15001379	68	69	67	68	65	70	102	98	102	96	99	0	0	227	92	98	109	75	70
F.RL15001383	68	69	67	68	65	70	102	98	102	96	99	0	0	227	92	98	109	75	70
S.RL15001557	219	219	218	223	216	221	241	238	242	236	237	227	227	0	232	238	243	228	221
F.RL15001293	84	85	83	88	81	86	70	52	56	64	53	92	92	232	0	52	113	92	86
O.RL15001377	90	91	89	90	87	92	76	2	12	70	9	98	98	238	52	0	119	98	92
S.RL15002426	101	101	100	101	98	103	123	119	123	117	119	109	109	243	113	119	0	109	103
R.ref-CC59	68	69	67	71	65	70	102	98	102	96	98	75	75	228	92	98	109	0	70
S.RL15003016	6	7	5	7	7	8	96	92	96	90	93	70	70	221	86	92	103	70	0
