	105120_RL1500008701-1	105136_RL1500010701-1	105144_RL1500011801-1	105145_RL1500011901-1	105156_RL1500013601-1	105157_RL1500013701-1	105158_RL1500013801-1	105159_RL1500013901-1	105161_RL1500014301-1	105168_RL1500018301-1	106084_RL1500020501-1	106088_RL1500020701-1	118084_RL1500006801-2	118096_RL1500014601-2	118098_RL1500003901-2	118099_RL1500005401-2	118101_RL1500007801-2	118106_RL1500014701-2	118116_RL1500015501-2	118118_RL1500004501-2	150672_RL1500019901-1	150675_RL1500020401-1	150680_RL1500022201-1	150684_RL1500022701-1	150691_RL1500023401-1	150865_RL1500034502-1	150874_RL1500035402-1	150876_RL1500035602-1	150877_RL1500035702-1	150891_RL1500037302-1	150893_RL1500037502-1	150911_RL1500040802-1	153211_RL1500021501-2	153268_RL1500033801-2	153504_RL1500046101-1	153506_RL1500046301-1	153507_RL1500046401-1	153522_RL1500047901-1	153523_RL1500048001-1	153530_RL1500048701-1	153534_RL1500049101-1	153544_RL1500050301-1	153549_RL1500050801-1	153550_RL1500050901-1	153551_RL1500051001-1	153553_RL1500051401-1	159972_RL1500027802-2	159992_RL1500054202-2	160004_RL1500065902-2	160005_RL1500067702-2	160009_RL1500071502-2	160010_RL1500071702-2	160013_RL1500072202-2	160016_RL1500127902-2	160028_RL1500052201-2	160029_RL1500052301-2	160030_RL1500052401-2	160031_RL1500052501-2	160034_RL1500052801-2	160035_RL1500052901-2	160036_RL1500053001-2	160037_RL1500053101-2	160039_RL1500053301-2	160047_RL1500066201-2	160053_RL1500066901-2	160058_RL1500067601-2	160059_RL1500067801-2	160062_RL1500068101-2	160080_RL1500070101-2	160085_RL1500070601-2	163331_RL1500130401-2	163355_RL1500133401-2	163369_RL1500134901-2	165012_RL1500031402-1	165029_RL1500051301-1	165060_RL1500072302-1	168131_RL1500003502-2	168147_RL1500007002-2	168149_RL1500007402-2	168157_RL1500015102-2	168162_RL1500016402-2	168170_RL1500017602-2	168201_RL1500138501-2	172343_RL1500142401-2	172344_RL1500142501-2	172348_RL1500152301-2	172359_RL1500153701-2	172360_RL1500153801-2	175629_RL1500129601-2	175655_RL1500165001-2	176120_RL1400007301-1	176121_RL1400007501-1	176129_RL1500130601-1	176138_RL1500157901-1	176172_RL1500161601-1	176175_RL1500161901-1	176388_RL1500160001-1	188203_RL1400008701-1	188209_RL1500001201-1	188212_RL1500002801-1	188217_RL1500007701-1	188218_RL1500012401-1	191708_RL1400008601-2	191974_RL1500244001-1	27074_RL1000010-1	27075_RL10000011-1	5618_RL10000072-2	5631_RL10000088-2	7601_RL14000008-2	RL15003017	SLCC2479
F.RL15000087	0	10	7	737	641	1148	1084	1120	560	10	789	799	186	1406	504	13	12	1317	10	1113	762	207	740	792	439	503	704	501	512	666	1191	1632	788	1601	1330	908	659	789	821	181	1291	602	1575	548	1410	600	802	1271	1268	793	872	867	604	668	1705	1681	779	779	758	662	497	664	777	909	926	1234	1419	1242	155	873	1376	672	1313	898	1365	161	803	734	9	1354	703	203	212	1374	1379	1387	1417	899	1560	1147	845	838	1374	1023	1225	764	691	867	787	464	10	12	857	1325	435	412	824	815	462	819	1582
F.RL15000107	10	0	3	698	583	1108	1069	1084	526	8	741	751	182	1348	467	8	8	1276	6	1083	719	193	697	744	401	452	663	449	461	651	1137	1544	739	1535	1261	863	646	758	722	173	1203	578	1438	528	1308	584	706	1202	1169	739	797	852	548	642	1615	1579	742	742	752	641	484	643	741	852	868	1169	1336	1185	151	797	1297	664	1243	807	1288	158	773	687	10	1284	634	197	202	1242	1247	1255	1308	845	1474	1090	791	785	1291	953	1144	744	656	812	699	426	6	8	802	1252	385	363	771	762	404	772	1445
F.RL15000118	7	3	0	599	648	578	524	561	568	5	643	639	58	892	183	6	5	836	3	372	631	78	608	646	287	374	630	363	368	55	607	837	630	907	757	135	111	184	685	61	716	48	774	517	611	80	801	612	630	57	713	175	262	114	923	906	49	48	44	123	382	127	47	538	551	615	646	632	51	714	641	92	757	786	524	27	148	615	7	778	712	133	90	689	693	698	626	785	818	572	801	795	640	888	660	170	552	824	789	280	3	5	814	586	345	331	784	775	369	672	782
F.RL15000119	737	698	599	0	682	1298	1210	1269	562	708	6	141	9	1240	574	690	683	1178	704	1339	10	14	9	8	721	930	863	939	945	1184	1366	1679	139	1845	1284	1368	658	1321	672	702	1118	1227	1261	1049	1226	1048	841	942	1616	1367	620	1417	1088	690	1597	1595	1412	1415	1401	1079	834	1091	1411	1411	1424	1442	1641	1451	661	619	1529	1307	1566	518	1661	627	703	10	784	1314	752	184	564	1129	1128	1140	1790	660	1616	1364	1110	1103	1517	1217	1279	1241	367	1130	823	673	787	789	1121	1527	895	853	1089	1070	952	9	1267
F.RL15000136	641	583	648	682	0	700	622	669	2	621	786	769	60	819	128	587	574	772	601	741	750	64	699	770	732	753	810	744	742	716	539	1263	753	1177	439	736	93	719	470	665	518	720	557	834	709	687	10	804	575	729	742	728	677	92	893	876	725	726	723	664	729	683	735	478	484	799	619	804	718	741	865	751	1124	536	947	705	89	690	682	802	12	108	601	473	477	481	1036	664	1222	876	1001	998	853	1158	413	744	725	1020	9	681	706	707	1010	534	608	567	969	961	674	793	562
F.RL15000137	1148	1108	578	1298	700	0	0	5	666	1144	1434	1347	651	1356	880	1102	1109	1289	1119	1167	1371	786	1317	1409	840	673	268	689	689	1375	1122	1446	1335	1322	1062	1129	597	602	1052	832	1195	1309	1515	756	1400	1035	828	1265	1323	1363	840	1333	1433	668	1777	1758	1441	1439	1269	1061	896	1077	1436	1479	1498	21	1436	21	701	844	1466	1048	1518	1101	1432	1246	1000	1294	1214	1244	760	268	1148	1282	1287	1295	1424	1612	1390	21	986	986	1460	936	1033	1137	1347	1001	815	1314	1256	1259	999	1302	816	798	963	950	825	1451	1522
F.RL15000138	1084	1069	524	1210	622	0	0	5	594	1088	1317	1234	635	1269	847	1063	1062	1213	1073	1080	1260	763	1228	1292	742	614	240	631	631	1275	1032	1311	1223	1214	968	1018	572	546	919	757	1068	1217	1315	687	1255	955	728	1170	1197	1241	759	1229	1331	638	1625	1608	1318	1316	1175	975	795	991	1313	1391	1406	21	1307	21	627	763	1330	962	1420	946	1346	1168	943	1197	1145	1160	670	246	1092	1119	1124	1131	1305	1493	1249	17	879	878	1324	838	934	1056	1254	893	714	1217	1182	1185	893	1170	746	730	863	845	753	1333	1316
F.RL15000139	1120	1084	561	1269	669	5	5	0	640	1121	1391	1309	646	1320	841	1083	1085	1254	1095	1132	1334	779	1283	1366	797	647	263	663	663	1341	1099	1380	1297	1277	1050	1084	598	579	997	805	1151	1270	1428	724	1325	1007	785	1219	1272	1313	803	1297	1375	656	1730	1712	1388	1385	1226	1030	876	1045	1383	1453	1472	26	1396	26	669	807	1407	1015	1462	1048	1390	1215	967	1259	1190	1211	719	259	1128	1207	1212	1220	1341	1583	1320	22	934	933	1402	881	1012	1105	1294	948	771	1276	1224	1229	949	1265	793	778	918	899	801	1408	1435
F.RL15000143	560	526	568	562	2	666	594	640	0	547	654	639	60	787	126	519	515	737	534	677	625	65	602	640	628	705	771	697	696	623	508	1145	623	1069	394	647	90	658	360	577	400	631	402	749	616	606	11	695	534	638	660	631	572	90	838	821	635	637	631	590	629	607	644	441	448	760	582	766	626	657	819	654	1061	390	910	616	88	580	602	768	13	117	543	362	366	370	940	564	1110	846	906	904	809	1047	378	657	640	924	10	578	618	618	915	497	573	533	883	869	637	664	405
F.RL15000183	10	8	5	708	621	1144	1088	1121	547	0	749	757	184	1386	502	11	10	1296	8	1096	725	198	713	752	420	473	692	471	482	657	1191	1586	746	1568	1326	904	657	786	774	174	1256	588	1523	537	1365	590	780	1232	1252	778	825	868	582	666	1670	1645	765	765	761	656	496	658	764	901	917	1223	1408	1239	150	825	1356	672	1261	850	1313	158	788	696	10	1339	679	203	209	1331	1336	1344	1381	885	1518	1138	796	789	1352	978	1202	758	676	818	765	447	8	10	808	1317	413	391	775	766	440	779	1529
