	150917_RL1500042002-1	153557_RL1500051801-1	160025_RL1500051901-2	168174_RL1500035802-2	172339_RL1500141801-2	172374_RL1500156201-2	176184_RL1500163201-1	177566_RL1500162401-2	CP002001
F.RL15000420	0	41	42	24	31	21	64	28	32458
F.RL15000518	41	0	1	35	80	32	75	74	32141
F.RL15000519	42	1	0	36	78	33	76	79	32524
F.RL15000358	24	35	36	0	25	15	58	24	30786
S.RL15001418	31	80	78	25	0	22	65	97	32149
S.RL15001562	21	32	33	15	22	0	55	21	31990
S.RL15001632	64	75	76	58	65	55	0	64	31874
S.RL15001624	28	74	79	24	97	21	64	0	33403
R.CP002001	32458	32141	32524	30786	32149	31990	31874	33403	0
