	10403S	105122_RL1500008901-1	105130_RL1500009901-1	118088_RL1500007201-2	118129_RL1500006601-2	14473_H140480008-1	150705_RL1500025001-1	150871_RL1500035102-1	153216_RL1500026001-2	153231_RL1500027501-2	153234_RL1500027901-2	153258_RL1500030401-2	153488_RL1500044501-1	153493_RL1500045001-1	159980_RL1500038902-2	159993_RL1500054302-2	160000_RL1500065402-2	160041_RL1500053501-2	160044_RL1500065801-2	163380_RL1500137201-2	165018_RL1500032002-1	168160_RL1500016202-2	168197_RL1500138001-2	172361_RL1500153901-2	175627_RL1500129101-2	175649_RL1500156801-2	175653_RL1500157801-2	176136_RL1500156601-1	176160_RL1500160401-1	176167_RL1500161101-1	176168_RL1500161201-1	176170_RL1500161401-1	176174_RL1500161801-1	176183_RL1500163101-1	177517_RL1500027301-2	177555_RL1500157201-2	188196_RL1400006301-1	227113_RL1500300203-2	227117_RL1500300703-2	7364_H132340048-1	7365_H132860463-1	7370_H140620003-1	7372_H140680419-1	7373_H140760087-1	9405_H131960044-1
R.Ref_CC7	0	268	274	162	208	429	190	585	198	194	209	136	107	333	406	419	110	115	1201	436	506	139	141	100	363	124	128	117	832	826	769	278	1161	1338	1344	118	137	126	125	438	431	434	435	430	406
F.RL15000089	268	0	0	1	2	266	242	251	243	241	242	295	205	236	257	262	253	184	235	268	190	296	294	261	260	279	286	246	218	219	220	271	256	284	190	272	266	272	271	266	266	266	268	266	264
F.RL15000099	274	0	0	1	2	264	249	261	250	248	249	300	206	238	253	258	252	193	246	265	196	301	303	267	257	287	292	252	222	223	223	279	263	287	196	280	273	279	278	264	265	263	265	267	264
F.RL15000072	162	1	1	0	3	172	174	178	175	174	174	192	166	170	192	194	153	108	176	173	144	194	189	155	169	176	178	168	177	178	177	184	179	207	109	169	188	175	174	171	172	171	171	172	173
F.RL15000066	208	2	2	3	0	218	203	212	204	203	203	239	178	199	217	222	203	145	196	219	158	241	234	201	210	221	228	197	187	188	186	233	211	240	152	215	223	220	219	218	219	217	219	219	218
O.RL15001370	429	266	264	172	218	0	248	410	256	253	268	387	118	342	406	418	354	287	284	1	285	388	454	421	191	438	448	374	432	440	391	178	303	407	369	431	406	427	426	1	2	0	0	0	3
F.RL15000250	190	242	249	174	203	248	0	187	1	0	0	186	97	183	209	214	173	116	119	251	69	188	150	170	248	70	189	94	43	40	31	248	198	146	208	83	217	90	89	246	246	249	250	246	243
F.RL15000351	585	251	261	178	212	410	187	0	188	186	187	535	99	167	222	227	556	418	378	412	110	537	588	566	388	572	584	496	209	208	206	202	322	274	570	565	575	554	553	413	409	411	411	411	397
F.RL15000260	198	243	250	175	204	256	1	188	0	1	1	194	98	191	217	222	181	124	120	259	70	196	158	178	256	78	197	102	45	42	33	249	199	147	209	91	225	98	97	254	254	257	258	254	251
F.RL15000275	194	241	248	174	203	253	0	186	1	0	0	191	96	188	214	219	178	122	119	256	69	193	156	175	253	76	194	100	44	41	32	247	197	145	207	89	222	96	95	251	251	254	255	251	248
