	105116_RL1500002101-1	105153_RL1500013101-1	106058_RL1500002401-1	118147_RL1500004401-2	150862_RL1500011401-1	150868_RL1500034802-1	153204_RL1500002001-2	153212_RL1500021601-2	153257_RL1500030301-2	153510_RL1500046701-1	153511_RL1500046801-1	153524_RL1500048101-1	163373_RL1500135301-2	165066_RL1500073002-1	165068_RL1500073202-1	168130_RL1500000702-2	175635_RL1500131801-2	176117_RL1400005401-1	176130_RL1500135401-1	176163_RL1500160701-1	188211_RL1500002201-1	ref
F.RL15000021	0	29	18	34	1468	31	19	31	18	34	32	36	34	34	35	37	28	32	34	43	36	1468
F.RL15000131	29	0	30	36	1465	32	31	33	30	36	34	40	37	36	37	41	30	35	37	46	39	1465
F.RL15000024	18	30	0	35	1518	33	16	32	17	35	33	39	36	34	36	40	29	34	36	45	38	1518
F.RL15000044	34	36	35	0	1466	4	35	32	34	26	24	40	37	36	37	44	20	35	37	36	39	1466
F.RL15000114	1468	1465	1518	1466	0	1528	1518	1526	1523	1528	1526	1524	1529	1501	1509	1527	1504	1514	1524	1525	1516	0
F.RL15000348	31	32	33	4	1528	0	33	30	32	24	22	38	35	34	35	43	18	33	35	34	37	1528
F.RL15000020	19	31	16	35	1518	33	0	33	17	35	33	39	36	35	36	40	29	34	36	45	38	1518
F.RL15000216	31	33	32	32	1526	30	33	0	32	34	32	38	35	32	33	42	28	32	35	44	30	1526
F.RL15000303	18	30	17	34	1523	32	17	32	0	34	32	38	35	34	35	39	28	33	35	44	37	1523
F.RL15000467	34	36	35	26	1528	24	35	34	34	0	8	40	37	36	37	45	20	35	37	36	39	1528
F.RL15000468	32	34	33	24	1526	22	33	32	32	8	0	38	35	34	35	43	18	33	35	34	37	1526
F.RL15000481	36	40	39	40	1524	38	39	38	38	40	38	0	33	40	41	49	34	39	33	50	43	1524
F.RL15001353	34	37	36	37	1529	35	36	35	35	37	35	33	0	37	38	46	31	36	0	47	40	1529
F.RL15000730	34	36	34	36	1501	34	35	32	34	36	34	40	37	0	1	45	30	35	37	46	37	1501
F.RL15000732	35	37	36	37	1509	35	36	33	35	37	35	41	38	1	0	46	31	36	38	47	38	1509
F.RL15000007	37	41	40	44	1527	43	40	42	39	45	43	49	46	45	46	0	39	44	46	55	48	1527
F.RL15001318	28	30	29	20	1504	18	29	28	28	20	18	34	31	30	31	39	0	29	31	30	33	1504
F.RL14000054	32	35	34	35	1514	33	34	32	33	35	33	39	36	35	36	44	29	0	36	45	38	1514
F.RL15001354	34	37	36	37	1524	35	36	35	35	37	35	33	0	37	38	46	31	36	0	47	40	1524
S.RL15001607	43	46	45	36	1525	34	45	44	44	36	34	50	47	46	47	55	30	45	47	0	49	1525
F.RL15000022	36	39	38	39	1516	37	38	30	37	39	37	43	40	37	38	48	33	38	40	49	0	1516
R.ref	1468	1465	1518	1466	0	1528	1518	1526	1523	1528	1526	1524	1529	1501	1509	1527	1504	1514	1524	1525	1516	0
