	150884_RL1500036602-1	150915_RL1500041802-1	153501_RL1500045801-1	153532_RL1500048901-1	153546_RL1500050501-1	159997_RL1500063802-2	163345_RL1500132401-2	163366_RL1500134601-2	165024_RL1500032802-1	165025_RL1500043801-1	165039_RL1500063002-1	165040_RL1500063102-1	165041_RL1500063202-1	165042_RL1500063302-1	165043_RL1500063402-1	165044_RL1500063502-1	165045_RL1500063602-1	165046_RL1500063702-1	168186_RL1500132001-2	168187_RL1500132501-2	168200_RL1500138401-2	172349_RL1500152401-2	172366_RL1500154901-2	175639_RL1500132201-2	175645_RL1500137601-2	176153_RL1500159701-1	177525_RL1500045101-2	177534_RL1500129201-2	188226_RL1500036701-1	ref
F.RL15000366	0	77	68	38	107	43	36	1595	153	66	42	42	41	42	42	42	42	42	32	37	37	51	64	34	54	51	75	43	0	42
F.RL15000418	77	0	83	67	43	72	65	65	40	81	71	71	70	71	71	71	71	71	61	66	66	80	79	61	73	68	89	72	77	71
F.RL15000458	68	83	0	58	113	63	56	1601	158	52	62	62	61	62	62	62	62	62	52	57	57	71	44	54	66	59	55	63	68	62
F.RL15000489	38	67	58	0	97	33	26	1585	143	56	32	32	31	32	32	32	32	32	22	27	27	41	54	24	44	41	65	33	38	32
F.RL15000505	107	43	113	97	0	102	95	74	50	111	101	101	100	101	101	101	101	101	91	96	96	109	109	91	99	77	119	102	107	101
F.RL15000638	43	72	63	33	102	0	31	1590	148	61	3	3	3	3	3	3	3	3	27	32	32	46	59	29	49	46	70	38	43	3
F.RL15001324	36	65	56	26	95	31	0	1583	141	54	30	30	29	30	30	30	30	30	6	7	25	39	52	8	42	39	63	31	36	30
F.RL15001346	1595	65	1601	1585	74	1590	1583	0	72	1594	1589	1589	1588	1581	1589	1589	1589	1589	1579	1584	1584	1598	1597	1581	1588	41	1607	1590	1595	1589
S.RL15000328	153	40	158	143	50	148	141	72	0	157	147	147	146	147	147	147	147	147	137	142	142	156	155	137	147	74	135	148	152	147
F.RL15000438	66	81	52	56	111	61	54	1594	157	0	60	60	59	60	60	60	60	60	50	55	55	67	48	52	64	57	59	61	66	60
F.RL15000630	42	71	62	32	101	3	30	1589	147	60	0	0	0	2	0	0	0	0	26	31	31	45	58	28	48	45	69	37	42	0
F.RL15000631	42	71	62	32	101	3	30	1589	147	60	0	0	0	2	0	0	0	0	26	31	31	45	58	28	48	45	69	37	42	0
F.RL15000632	41	70	61	31	100	3	29	1588	146	59	0	0	0	2	0	0	0	0	25	30	30	44	57	27	47	44	68	36	41	0
F.RL15000633	42	71	62	32	101	3	30	1581	147	60	2	2	2	0	2	2	2	2	26	31	31	45	58	28	48	45	69	37	42	2
F.RL15000634	42	71	62	32	101	3	30	1589	147	60	0	0	0	2	0	0	0	0	26	31	31	45	58	28	48	45	69	37	42	0
F.RL15000635	42	71	62	32	101	3	30	1589	147	60	0	0	0	2	0	0	0	0	26	31	31	45	58	28	48	45	69	37	42	0
F.RL15000636	42	71	62	32	101	3	30	1589	147	60	0	0	0	2	0	0	0	0	26	31	31	45	58	28	48	45	69	37	42	0
F.RL15000637	42	71	62	32	101	3	30	1589	147	60	0	0	0	2	0	0	0	0	26	31	31	45	58	28	48	45	69	37	42	0
F.RL15001320	32	61	52	22	91	27	6	1579	137	50	26	26	25	26	26	26	26	26	0	7	21	35	48	4	38	35	59	27	32	26
F.RL15001325	37	66	57	27	96	32	7	1584	142	55	31	31	30	31	31	31	31	31	7	0	26	40	53	9	43	40	64	32	37	31
F.RL15001384	37	66	57	27	96	32	25	1584	142	55	31	31	30	31	31	31	31	31	21	26	0	40	53	23	43	40	64	32	37	31
S.RL15001524	51	80	71	41	109	46	39	1598	156	67	45	45	44	45	45	45	45	45	35	40	40	0	67	37	55	54	77	46	51	45
S.RL15001549	64	79	44	54	109	59	52	1597	155	48	58	58	57	58	58	58	58	58	48	53	53	67	0	50	62	55	51	59	64	58
F.RL15001322	34	61	54	24	91	29	8	1581	137	52	28	28	27	28	28	28	28	28	4	9	23	37	50	0	40	36	61	29	34	28
S.RL15001376	54	73	66	44	99	49	42	1588	147	64	48	48	47	48	48	48	48	48	38	43	43	55	62	40	0	47	72	49	54	48
S.RL15001597	51	68	59	41	77	46	39	41	74	57	45	45	44	45	45	45	45	45	35	40	40	54	55	36	47	0	63	45	51	45
F.RL15000451	75	89	55	65	119	70	63	1607	135	59	69	69	68	69	69	69	69	69	59	64	64	77	51	61	72	63	0	70	75	69
F.RL15001292	43	72	63	33	102	38	31	1590	148	61	37	37	36	37	37	37	37	37	27	32	32	46	59	29	49	45	70	0	43	37
F.RL15000367	0	77	68	38	107	43	36	1595	152	66	42	42	41	42	42	42	42	42	32	37	37	51	64	34	54	51	75	43	0	42
R.ref-CC37	42	71	62	32	101	3	30	1589	147	60	0	0	0	2	0	0	0	0	26	31	31	45	58	28	48	45	69	37	42	0
