	150851_H14066005301-1	163317_RL1500065101-2	163337_RL1500131401-2	163379_RL1500137101-2	5337_H135160034-1	7356_H1_40120009-1	7363_H121420089-1	7366_H133600166-1	7367_H134700022-1	7368_H134900368-1	7369_H134960451-1	ref
O.RL15001409	0	867	106	0	3	3	975	4	2	3	3	867
F.RL15000651	867	0	135	919	932	928	1007	922	932	929	967	0
F.RL15001314	106	135	0	106	101	103	113	104	104	101	103	135
O.RL15001371	0	919	106	0	3	3	997	4	2	3	3	919
O.RL15001406	3	932	101	3	0	0	1000	1	3	0	0	932
O.RL15001407	3	928	103	3	0	0	992	1	3	0	0	928
O.RL15001394	975	1007	113	997	1000	992	0	998	999	995	1014	1007
O.RL15001400	4	922	104	4	1	1	998	0	4	1	1	922
O.RL15001403	2	932	104	2	3	3	999	4	0	3	3	932
O.RL15001404	3	929	101	3	0	0	995	1	3	0	0	929
O.RL15001405	3	967	103	3	0	0	1014	1	3	0	0	967
R.Ref-RL15000651	867	0	135	919	932	928	1007	922	932	929	967	0
