	105112_RL1500001601-1	105154_RL1500013301-1	118141_RL1500004301-2	118146_RL1500015201-2	14554_RL14000100-1	150875_RL1500035502-1	150901_RL1500039802-1	153208_RL1500021201-2	153209_RL1500021301-2	159984_RL1500040002-2	159996_RL1500062702-2	163309_RL1500031201-2	163315_RL1500058301-2	165007_RL1500030602-1	165008_RL1500030702-1	165009_RL1500030802-1	165010_RL1500031002-1	165014_RL1500031602-1	165015_RL1500031702-1	165017_RL1500031902-1	165023_RL1500032702-1	165037_RL1500062802-1	165048_RL1500064002-1	165049_RL1500064102-1	165050_RL1500064202-1	165051_RL1500064302-1	165052_RL1500064402-1	165054_RL1500064702-1	172346_RL1500142701-2	172353_RL1500152801-2	176115_RL1400004401-1	177524_RL1500033901-2	177552_RL1500156701-2	177563_RL1500162001-2	188204_RL1400008901-1	188205_RL1400009301-1	188206_RL1400009401-1	189902_RL1500242201-2	189908_RL1500243001-2	227115_RL1500300503-2	27082_RL10000096-1	5568_RL10000018-2	5576_RL10000026-2	5585_RL10000036-2	5586_RL10000037-2	5587_RL10000038-2	5588_RL10000039-2	5589_RL10000040-2	5590_RL10000041-2	5591_RL10000042-2	5592_RL10000043-2	5594_RL10000045-2	5595_RL10000046-2	5596_RL10000047-2	5606_RL10000058-2	5607_RL10000059-2	5608_RL10000060-2	5609_RL10000061-2	5610_RL10000062-2	5633_RL10000090-2	5634_RL10000091-2	5635_RL10000092-2	5638_RL10000095-2	5639_RL10000097-2	5640_RL10000098-2	7602_RL14000017-2	9483_RL14000099-1
F.RL15000016	0	291	37	166	1166	145	291	1851	1253	297	839	1168	846	1137	1482	1460	1474	1470	1527	1462	1198	829	845	847	857	843	850	846	177	43	1158	1466	141	49	1173	1171	1178	9	294	1829	955	211	1123	1162	1156	1161	1158	1156	1154	1151	1152	1154	1158	1147	2505	2508	2508	2498	2498	1168	485	482	1123	1163	1178	216	482
F.RL15000133	291	0	37	150	1037	118	568	1641	1353	573	865	1100	876	1019	1335	1317	1329	1323	1384	1316	1117	855	881	882	883	877	884	874	153	40	1022	1212	132	42	1039	1034	1044	8	570	1620	863	189	996	1021	1021	1029	1023	1022	1022	1020	1021	1019	1024	1017	2160	2160	2160	2152	2152	1035	411	400	1003	1030	1041	200	408
F.RL15000043	37	37	0	132	256	112	38	629	763	41	187	170	201	243	164	166	163	165	179	164	172	189	195	195	196	192	197	196	136	15	238	460	110	43	255	257	258	42	41	625	141	130	229	240	239	242	241	240	240	243	239	238	240	235	915	915	915	916	916	258	236	230	227	257	254	141	236
F.RL15000152	166	150	132	0	311	136	169	620	780	172	205	194	219	290	186	187	185	186	201	185	196	207	212	213	214	210	215	214	9	140	293	458	133	137	310	314	315	138	172	617	168	190	271	296	295	298	297	296	294	296	295	294	294	288	1037	1037	1037	1033	1033	313	291	289	282	310	311	203	292
Ri.RL14000100	1166	1037	256	311	0	307	1465	2629	1295	1366	1054	1001	1039	49	1456	1427	1440	1445	2479	1438	1038	1004	1070	1081	1079	1061	1098	1051	380	357	38	2438	1389	366	0	2	4	370	1431	2600	3	2062	40	39	37	39	39	39	38	44	35	38	38	35	877	877	879	857	857	1	23	29	0	4	26	2084	38
F.RL15000355	145	118	112	136	307	0	172	1749	948	174	149	177	164	289	167	169	166	168	1194	167	179	151	157	158	159	155	160	159	150	122	291	1586	1113	119	310	305	314	120	163	1721	120	1031	275	290	286	295	289	289	286	286	290	285	287	278	1155	1158	1158	1131	1131	306	269	265	262	302	310	1083	270
F.RL15000398	291	568	38	169	1465	172	0	2183	1289	6	877	1467	887	1428	1737	1726	1730	1736	1785	1729	1502	871	883	892	893	885	887	890	186	44	1455	1740	138	41	1471	1466	1481	6	4	2141	1254	218	1432	1453	1450	1465	1453	1451	1449	1443	1455	1452	1453	1441	2997	3006	3006	2956	2957	1464	534	530	1416	1456	1475	230	532
F.RL15000212	1851	1641	629	620	2629	1749	2183	0	2000	2078	2183	1178	2174	2632	1117	1106	1104	1111	1131	1105	1212	2154	2196	2198	2196	2191	2204	2181	692	677	2643	1485	663	673	2655	2649	2672	683	2171	17	2448	745	3034	2628	2621	2647	2646	2646	2628	2626	2642	2629	2634	2615	4129	4135	4135	4088	4088	2628	1492	1493	2577	2596	2654	737	1489
F.RL15000213	1253	1353	763	780	1295	948	1289	2000	0	1214	924	1089	938	1248	1377	1369	1369	1375	1419	1373	1093	915	927	931	936	933	932	937	885	858	1280	1943	905	861	1293	1295	1304	890	1275	2020	1187	1032	1912	1276	1274	1283	1274	1273	1271	1275	1279	1274	1275	1263	2956	2962	2962	2913	2913	1288	420	421	1257	1283	1297	1004	419
F.RL15000400	297	573	41	172	1366	174	6	2078	1214	0	887	1383	897	1350	1643	1630	1637	1641	1662	1635	1417	880	892	902	900	895	897	900	188	47	1352	1639	114	44	1369	1363	1377	6	4	2062	1197	170	1342	1349	1348	1361	1350	1349	1346	1348	1352	1347	1350	1338	2810	2821	2821	2774	2778	1362	430	428	1314	1353	1368	185	428
