	150657_RL1500009001-1	150704_RL1500024901-1	150711_RL1500025601-1	150713_RL1500025801-1	150869_RL1500034902-1	153217_RL1500026101-2	153220_RL1500026401-2	160040_RL1500053401-2	160092_RL1500071401-2	175659_RL1500167901-2	175661_RL1500168601-2	176150_RL1500159401-1	176159_RL1500160301-1	176169_RL1500161301-1	176362_RL1500167301-1	176365_RL1500167201-1	176369_RL1500167101-1	176373_RL1500167001-1	176376_RL1500166901-1	176389_RL1500164801-1	176427_RL1500168401-1	176428_RL1500167501-1	176430_RL1500168501-1	176432_RL1500168101-1	176436_RL1500168201-1	176438_RL1500167601-1	176441_RL1500167801-1	176443_RL1500167701-1	176444_RL1500168001-1	176448_RL1500168301-1	176449_RL1500167401-1	177516_RL1500026501-2	177570_RL1500168701-2	ref
F.RL15000090	0	54	60	61	60	60	60	39	49	52	53	42	48	48	50	52	52	52	51	46	52	52	53	50	51	50	50	51	52	53	53	60	52	60
F.RL15000249	54	0	1	2	65	1	8	52	62	66	67	56	62	62	64	66	66	65	65	60	66	66	67	64	65	64	64	63	66	67	67	8	66	65
F.RL15000256	60	1	0	3	73	2	9	59	69	72	73	62	68	68	70	72	72	72	71	66	72	72	73	70	71	70	70	69	72	73	73	9	72	73
F.RL15000258	61	2	3	0	74	3	10	60	70	73	74	63	69	69	71	73	73	73	72	67	73	73	74	71	72	71	71	70	73	74	74	10	73	74
F.RL15000349	60	65	73	74	0	73	73	58	68	71	72	61	67	67	69	69	71	71	70	63	71	69	72	69	70	69	69	70	72	72	72	73	71	0
F.RL15000261	60	1	2	3	73	0	9	59	69	72	73	62	68	68	70	72	72	72	71	66	72	72	73	70	71	70	70	69	72	73	73	9	72	73
F.RL15000264	60	8	9	10	73	9	0	59	69	72	73	62	68	68	70	72	72	72	71	66	72	72	73	70	71	70	70	69	72	73	73	0	72	73
F.RL15000534	39	52	59	60	58	59	59	0	32	35	36	24	31	31	33	35	35	35	34	27	35	35	36	33	34	33	33	34	35	36	36	59	35	58
F.RL15000714	49	62	69	70	68	69	69	32	0	45	46	35	41	41	43	45	45	45	44	39	45	45	46	43	44	43	43	44	45	46	46	69	45	68
O.RL15001679	52	66	72	73	71	72	72	35	45	0	7	38	6	6	4	6	6	6	5	42	6	7	7	4	5	5	4	5	0	7	8	72	6	71
O.RL15001686	53	67	73	74	72	73	73	36	46	7	0	39	7	7	5	7	7	7	2	43	7	4	0	5	6	6	5	6	7	0	5	73	7	72
S.RL15001594	42	56	62	63	61	62	62	24	35	38	39	0	34	34	36	38	38	38	37	32	38	38	39	36	37	36	36	37	38	39	39	62	38	61
