	159974_RL1500031102-2	172370_RL1500155601-2	176187_RL1500163501-1	227116_RL1500300603-2	ref	RL15003010	RL15003011	RL15003012	RL15003013	RL15003014
S.RL15000311	0	44	63	9	63	38	38	38	38	39
S.RL15001556	44	0	65	41	65	40	40	40	40	41
S.RL15001635	63	65	0	61	0	59	60	60	59	60
S.RL15003006	9	41	61	0	61	35	35	35	35	36
R.ref	63	65	0	61	0	59	60	60	59	60
O.RL15003010	38	40	59	35	59	0	0	0	0	1
O.RL15003011	38	40	60	35	60	0	0	0	0	1
O.RL15003012	38	40	60	35	60	0	0	0	0	1
O.RL15003013	38	40	59	35	59	0	0	0	0	1
O.RL15003014	39	41	60	36	60	1	1	1	1	0
